run,q_con,q_mod,n,LKL_greedy,LKL_ILP
3,0.5,0.4,5,-4.123,-4.123
3,0.5,0.4,6,-6.859,-6.859
3,0.5,0.5,4,-2.773,-2.773
3,0.5,0.5,5,-4.159,-4.159
3,0.5,0.5,6,-5.545,-5.545
3,0.5,0.6,4,-4.135,-3.73
3,0.5,0.6,5,-6.661,-5.85
3,0.5,0.6,6,-8.781,-7.97
3,0.5,0.7,4,-2.947,-2.947
3,0.5,0.7,5,-4.71,-4.353
3,0.5,0.7,6,-6.117,-5.76
3,0.5,0.8,4,-1.833,-1.833
3,0.5,0.8,5,-2.749,-2.749
3,0.5,0.8,6,-3.665,-3.665
3,0.5,0.9,4,-3.9,-3.9
3,0.5,0.9,5,-4.803,-4.698
3,0.5,0.9,6,-3.299,-3.299
3,0.6,0.1,4,-1.338,-1.338
3,0.6,0.1,5,-2.165,-2.165
3,0.6,0.1,6,-3.397,-3.397
3,0.6,0.2,4,-1.873,-1.873
3,0.6,0.2,5,-3.236,-3.236
3,0.6,0.2,6,-6.966,-6.966
3,0.6,0.3,4,-2.14,-2.14
